TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,TOR,ORB,FTR,2P_O,3P_O,YEAR,OVER_.500
Georgetown,33.0,A,A,B,A,A,B,B,A,A,A,2019.0,TRUE
Providence,34.0,A,A,B,A,B,B,A,A,B,B,2019.0,TRUE
Xavier,35.0,A,A,B,A,A,A,A,B,A,B,2019.0,TRUE
Idaho,28.0,B,A,A,B,A,B,A,A,A,A,2015.0,FALSE
Idaho St.,28.0,B,B,A,B,B,B,A,A,B,A,2015.0,FALSE
Montana,31.0,A,A,A,A,A,B,B,B,A,A,2015.0,TRUE
Montana St.,29.0,B,B,A,B,B,A,B,B,B,A,2015.0,FALSE
North Dakota,28.0,B,B,A,B,B,B,B,A,B,B,2015.0,FALSE
Northern Arizona,37.0,A,B,B,B,B,B,A,A,B,A,2015.0,TRUE
Northern Colorado,28.0,B,A,A,B,A,B,A,B,A,A,2015.0,FALSE
Portland St.,27.0,B,B,A,B,B,B,B,A,B,A,2015.0,FALSE
Sacramento St.,31.0,A,A,A,B,A,B,B,B,A,A,2015.0,TRUE
Southern Utah,28.0,B,B,A,B,A,A,B,A,B,A,2015.0,FALSE
Weber St.,28.0,B,B,A,B,B,A,B,A,B,A,2015.0,FALSE
Eastern Washington,32.0,B,A,A,B,A,B,B,B,A,A,2016.0,TRUE
Idaho,32.0,A,B,B,B,B,A,A,A,B,A,2016.0,TRUE
Idaho St.,29.0,B,B,A,B,A,B,B,A,B,A,2016.0,FALSE
Montana,30.0,A,A,A,A,A,B,B,A,A,A,2016.0,TRUE
Montana St.,30.0,B,A,A,B,A,B,A,B,B,A,2016.0,FALSE
North Dakota,30.0,B,B,B,B,A,B,B,A,B,A,2016.0,FALSE
Northern Arizona,28.0,B,B,A,B,B,B,B,A,B,B,2016.0,FALSE
Northern Colorado,29.0,B,B,A,B,A,A,B,A,B,A,2016.0,FALSE
Portland St.,29.0,B,B,A,B,A,B,B,B,A,B,2016.0,FALSE
Sacramento St.,29.0,B,B,A,B,B,B,B,B,A,B,2016.0,FALSE
Southern Utah,28.0,B,B,A,B,B,A,B,B,B,A,2016.0,FALSE
Eastern Washington,32.0,A,A,A,B,A,B,B,B,A,A,2017.0,TRUE
Idaho,31.0,A,B,A,B,A,B,A,A,B,A,2017.0,TRUE
Idaho St.,30.0,B,B,A,B,A,A,B,A,B,A,2017.0,FALSE
Montana,32.0,B,A,A,B,A,B,B,B,A,A,2017.0,TRUE
Montana St.,30.0,B,B,A,B,A,B,B,A,B,A,2017.0,TRUE
Northern Arizona,31.0,B,B,A,B,B,A,A,B,B,B,2017.0,FALSE
Northern Colorado,27.0,B,B,A,B,A,A,B,B,A,B,2017.0,FALSE
Portland St.,28.0,B,B,A,B,A,B,B,A,A,B,2017.0,TRUE
Sacramento St.,29.0,B,B,A,B,B,B,B,A,A,B,2017.0,FALSE
Southern Utah,31.0,B,B,A,B,B,B,B,A,B,A,2017.0,FALSE
Weber St.,32.0,A,A,A,B,A,B,B,A,A,A,2017.0,TRUE
Eastern Washington,33.0,A,A,B,A,A,B,B,B,A,A,2018.0,TRUE
Idaho,29.0,A,A,A,A,A,A,A,B,A,A,2018.0,TRUE
Idaho St.,28.0,B,A,A,B,A,B,B,B,A,A,2018.0,TRUE
Montana St.,30.0,B,B,A,B,B,B,B,A,B,B,2018.0,FALSE
North Dakota,30.0,B,B,A,B,A,B,B,B,A,A,2018.0,FALSE
Northern Arizona,30.0,B,B,A,B,B,A,B,A,B,B,2018.0,FALSE
Northern Colorado,35.0,A,A,B,A,A,B,B,B,A,A,2018.0,TRUE
Portland St.,31.0,A,A,A,A,B,B,A,B,A,B,2018.0,TRUE
Sacramento St.,30.0,B,B,A,B,B,B,B,B,B,A,2018.0,FALSE
Southern Utah,30.0,B,B,A,B,A,B,B,B,B,A,2018.0,FALSE
Weber St.,28.0,A,A,A,B,A,B,B,B,A,A,2018.0,TRUE
Eastern Washington,33.0,B,B,A,B,A,B,B,B,A,A,2019.0,FALSE
Idaho,29.0,B,B,A,B,A,A,B,B,B,A,2019.0,FALSE
Idaho St.,28.0,B,B,A,B,A,B,B,B,A,A,2019.0,FALSE
Montana St.,31.0,B,A,A,B,A,B,B,B,A,A,2019.0,FALSE
North Dakota,26.0,B,B,A,B,A,B,B,B,A,A,2019.0,FALSE
Northern Arizona,31.0,B,B,A,B,A,B,B,B,A,A,2019.0,FALSE
Northern Colorado,30.0,A,B,B,B,A,B,B,B,A,A,2019.0,TRUE
Portland St.,29.0,B,B,A,B,B,A,A,A,B,B,2019.0,TRUE
Sacramento St.,28.0,B,B,A,B,B,A,B,B,B,B,2019.0,TRUE
Southern Utah,32.0,A,B,A,B,A,A,B,A,A,B,2019.0,TRUE
Weber St.,31.0,A,B,A,B,A,B,B,A,A,A,2019.0,TRUE
Campbell,29.0,B,B,A,B,B,A,B,B,B,A,2015.0,FALSE
Charleston Southern,28.0,B,A,A,B,B,B,A,B,B,B,2015.0,TRUE
Gardner Webb,31.0,B,A,A,B,A,B,B,A,A,A,2015.0,TRUE
High Point,30.0,A,A,A,B,A,B,A,B,A,A,2015.0,TRUE
Liberty,28.0,B,B,A,B,B,A,A,A,B,B,2015.0,FALSE
Longwood,32.0,B,B,A,B,B,A,B,B,B,A,2015.0,FALSE
Presbyterian,28.0,B,B,A,B,B,A,B,B,B,B,2015.0,FALSE
Radford,31.0,A,B,A,B,A,B,A,B,A,B,2015.0,TRUE
UNC Asheville,28.0,B,B,A,B,A,A,A,B,B,A,2015.0,FALSE
Winthrop,29.0,B,B,A,B,A,B,B,B,A,A,2015.0,TRUE
Campbell,27.0,B,B,A,B,B,B,B,A,A,B,2016.0,FALSE
Charleston Southern,27.0,B,B,A,B,A,B,B,B,A,B,2016.0,FALSE
Coastal Carolina,30.0,A,B,B,B,B,A,A,B,A,B,2016.0,TRUE
Gardner Webb,30.0,B,B,A,B,B,B,A,B,B,B,2016.0,FALSE
High Point,29.0,A,A,A,B,A,B,A,B,A,A,2016.0,TRUE
Liberty,29.0,B,B,A,B,A,A,B,B,A,A,2016.0,FALSE
Longwood,30.0,B,B,A,B,A,A,B,B,A,A,2016.0,FALSE
Presbyterian,28.0,B,B,A,B,B,A,B,B,B,B,2016.0,FALSE
Radford,29.0,B,B,A,B,A,A,A,B,A,B,2016.0,FALSE
Winthrop,29.0,A,A,A,B,A,B,B,A,A,A,2016.0,TRUE
Campbell,34.0,A,B,A,B,A,B,B,A,A,A,2017.0,TRUE
Charleston Southern,28.0,B,B,A,B,B,B,B,B,B,B,2017.0,FALSE
Gardner Webb,30.0,A,B,B,B,A,A,A,A,A,A,2017.0,TRUE
High Point,28.0,B,B,A,B,B,A,B,A,B,A,2017.0,TRUE
Liberty,32.0,A,B,B,B,A,B,B,B,A,A,2017.0,TRUE
Longwood,28.0,B,B,A,B,B,A,B,B,A,B,2017.0,FALSE
Presbyterian,28.0,B,B,A,B,B,A,B,B,B,B,2017.0,FALSE
Radford,30.0,B,B,A,B,B,A,A,B,B,A,2017.0,FALSE
UNC Asheville,31.0,A,A,B,A,A,B,B,B,A,A,2017.0,TRUE
Campbell,31.0,A,A,A,B,A,B,B,B,A,A,2018.0,TRUE
Charleston Southern,28.0,B,B,A,B,B,A,A,B,A,B,2018.0,TRUE
Gardner Webb,29.0,B,B,A,B,B,A,B,B,B,B,2018.0,FALSE
High Point,27.0,B,B,A,B,B,A,A,B,B,A,2018.0,TRUE
Liberty,34.0,A,B,A,B,A,B,B,B,A,A,2018.0,TRUE
Longwood,30.0,B,B,A,B,B,A,B,B,B,B,2018.0,FALSE
Presbyterian,29.0,B,B,A,B,B,A,B,B,B,A,2018.0,FALSE
UNC Asheville,32.0,A,A,A,B,A,A,B,B,A,A,2018.0,TRUE
Winthrop,28.0,A,A,A,B,A,A,B,B,A,A,2018.0,TRUE
Campbell,30.0,A,A,A,B,A,B,B,B,A,B,2019.0,TRUE
Charleston Southern,30.0,A,B,B,B,B,B,B,B,B,A,2019.0,TRUE
Hampton,32.0,A,A,A,B,B,B,B,B,B,B,2019.0,TRUE
High Point,29.0,B,B,A,B,B,A,A,B,A,B,2019.0,TRUE
Longwood,31.0,B,B,A,B,A,A,B,B,A,A,2019.0,TRUE
Presbyterian,33.0,A,A,A,B,A,B,B,B,A,A,2019.0,TRUE
Radford,30.0,A,A,A,A,A,B,B,B,A,A,2019.0,TRUE
UNC Asheville,28.0,B,B,A,B,B,A,B,B,B,B,2019.0,FALSE
USC Upstate,29.0,B,B,A,B,B,A,B,B,B,B,2019.0,FALSE
Winthrop,27.0,A,A,A,B,A,A,B,B,A,A,2019.0,TRUE
Cal Poly,27.0,B,B,B,A,B,B,A,B,B,B,2015.0,FALSE
Cal St. Fullerton,29.0,B,B,A,B,B,A,B,A,B,B,2015.0,FALSE
Cal St. Northridge,31.0,B,B,A,B,B,A,B,A,B,B,2015.0,FALSE
Hawaii,33.0,A,A,B,A,B,B,A,A,A,B,2015.0,TRUE
Long Beach St.,31.0,B,B,B,A,B,A,A,B,B,B,2015.0,FALSE
UC Davis,30.0,A,A,A,A,A,A,B,A,A,A,2015.0,TRUE
UC Riverside,29.0,B,B,B,B,B,A,A,B,B,B,2015.0,FALSE
UC Santa Barbara,31.0,A,A,B,A,B,B,A,B,B,A,2015.0,TRUE
Cal Poly,28.0,B,A,A,B,B,B,A,B,B,A,2016.0,FALSE
Cal St. Fullerton,28.0,B,B,A,B,B,A,B,A,B,B,2016.0,FALSE
Cal St. Northridge,28.0,B,B,A,B,B,A,B,A,B,B,2016.0,FALSE
Long Beach St.,33.0,A,A,B,A,B,B,B,A,B,A,2016.0,TRUE
UC Davis,28.0,B,B,B,B,B,A,B,B,B,A,2016.0,FALSE
UC Irvine,36.0,A,A,B,A,A,B,B,B,A,A,2016.0,TRUE
UC Riverside,31.0,B,B,A,B,B,A,B,A,B,A,2016.0,FALSE
UC Santa Barbara,32.0,A,A,B,A,A,B,B,B,B,A,2016.0,TRUE
Cal Poly,29.0,B,B,A,B,B,B,B,B,B,B,2017.0,FALSE
Cal St. Fullerton,30.0,A,B,B,B,B,A,A,A,A,B,2017.0,TRUE
Cal St. Northridge,28.0,B,B,A,B,B,B,B,A,A,B,2017.0,FALSE
Hawaii,29.0,B,B,A,B,B,A,B,A,B,B,2017.0,FALSE
Long Beach St.,32.0,B,A,A,B,B,A,A,A,B,A,2017.0,FALSE
UC Irvine,34.0,A,B,B,A,A,A,A,B,B,A,2017.0,TRUE
UC Riverside,27.0,B,B,A,B,B,A,B,B,B,B,2017.0,FALSE
UC Santa Barbara,27.0,B,B,A,B,B,B,A,B,B,B,2017.0,FALSE
Cal Poly,29.0,B,B,A,B,B,B,B,B,B,A,2018.0,FALSE
Cal St. Northridge,28.0,B,B,A,B,B,B,B,B,B,A,2018.0,FALSE
Hawaii,28.0,A,B,B,B,A,A,B,A,A,B,2018.0,TRUE
Long Beach St.,31.0,B,A,A,B,B,A,A,A,B,A,2018.0,FALSE
UC Davis,31.0,A,B,B,A,A,B,B,A,A,A,2018.0,TRUE
UC Irvine,33.0,A,B,B,A,B,A,A,B,B,B,2018.0,TRUE
UC Riverside,29.0,B,B,A,B,B,A,B,B,B,B,2018.0,FALSE
UC Santa Barbara,30.0,A,A,A,A,A,B,B,B,A,A,2018.0,TRUE
Cal Poly,27.0,B,B,A,B,B,B,B,B,B,B,2019.0,FALSE
Cal St. Fullerton,32.0,B,B,B,B,B,A,B,A,A,B,2019.0,TRUE
Cal St. Northridge,33.0,B,B,A,B,A,B,B,B,A,A,2019.0,FALSE
Hawaii,29.0,A,B,A,B,A,B,B,B,A,A,2019.0,TRUE
Long Beach St.,32.0,B,B,A,B,B,A,B,A,B,B,2019.0,FALSE
UC Davis,29.0,B,B,B,B,B,A,B,B,A,B,2019.0,FALSE
UC Riverside,30.0,B,B,A,B,A,A,B,B,B,A,2019.0,FALSE
UC Santa Barbara,30.0,A,B,A,B,A,B,A,A,A,A,2019.0,TRUE
College of Charleston,33.0,B,B,B,B,B,A,B,B,B,B,2015.0,FALSE
Delaware,30.0,B,B,A,B,B,B,B,A,B,A,2015.0,FALSE
Drexel,29.0,B,B,A,B,B,B,B,B,B,B,2015.0,FALSE
Elon,31.0,B,B,A,B,B,A,B,A,B,A,2015.0,FALSE
Hofstra,34.0,A,A,A,A,A,B,A,A,A,A,2015.0,TRUE
James Madison,33.0,A,B,A,B,A,A,B,A,A,A,2015.0,TRUE
Towson,31.0,B,B,A,B,B,A,A,A,B,B,2015.0,FALSE
UNC Wilmington,31.0,A,B,B,A,B,B,A,A,B,B,2015.0,TRUE
William & Mary,31.0,A,A,A,A,A,B,B,B,A,A,2015.0,TRUE
College of Charleston,30.0,B,B,B,A,B,A,A,B,B,B,2016.0,TRUE
Delaware,30.0,B,B,A,B,B,B,B,A,B,B,2016.0,FALSE
Drexel,30.0,B,B,A,B,B,B,B,A,B,B,2016.0,FALSE
Elon,30.0,B,A,A,B,A,B,B,B,A,B,2016.0,FALSE
Hofstra,33.0,A,A,B,A,A,B,A,A,A,A,2016.0,TRUE
James Madison,31.0,A,A,B,A,A,B,B,A,A,A,2016.0,TRUE
Northeastern,32.0,A,A,B,A,A,B,B,A,B,A,2016.0,TRUE
Towson,31.0,A,A,B,A,B,B,A,A,B,B,2016.0,TRUE
William & Mary,29.0,A,A,A,A,A,B,B,A,A,A,2016.0,TRUE
College of Charleston,34.0,A,A,B,A,B,B,B,A,A,B,2017.0,TRUE
Delaware,31.0,B,B,A,B,B,B,B,B,B,B,2017.0,FALSE
Drexel,31.0,B,B,A,B,A,B,A,B,B,A,2017.0,FALSE
Elon,30.0,A,B,B,A,A,B,B,B,A,A,2017.0,TRUE
Hofstra,31.0,B,A,A,B,A,B,A,A,A,A,2017.0,FALSE
James Madison,32.0,B,B,A,B,A,A,B,A,A,B,2017.0,FALSE
Northeastern,31.0,B,A,A,B,A,B,B,A,A,A,2017.0,FALSE
Towson,32.0,A,A,B,A,B,B,A,A,A,B,2017.0,TRUE
William & Mary,29.0,A,A,A,A,A,B,B,A,A,A,2017.0,TRUE
Delaware,31.0,B,B,A,B,A,B,B,B,A,B,2018.0,FALSE
Drexel,32.0,B,B,A,B,B,B,A,B,A,B,2018.0,FALSE
Elon,30.0,B,B,A,B,A,B,B,B,A,A,2018.0,FALSE
Hofstra,30.0,A,A,A,A,A,B,A,A,A,A,2018.0,TRUE
James Madison,31.0,B,B,A,B,B,B,B,B,B,B,2018.0,FALSE
Northeastern,32.0,A,A,B,A,A,A,B,B,A,A,2018.0,TRUE
Towson,30.0,A,A,A,B,A,B,A,B,A,A,2018.0,TRUE
UNC Wilmington,30.0,B,A,A,B,B,B,A,B,B,A,2018.0,FALSE
William & Mary,29.0,A,A,A,B,A,B,B,B,A,A,2018.0,TRUE
College of Charleston,32.0,A,A,B,A,A,B,B,B,A,B,2019.0,TRUE
Delaware,31.0,A,A,A,B,A,B,B,B,A,A,2019.0,TRUE
Drexel,31.0,B,B,A,B,A,B,B,B,A,A,2019.0,FALSE
Elon,30.0,B,B,A,B,A,B,B,B,A,A,2019.0,FALSE
Hofstra,34.0,A,A,A,A,A,B,B,A,A,A,2019.0,TRUE
James Madison,31.0,B,B,A,B,A,A,A,B,B,A,2019.0,FALSE
Towson,31.0,B,B,A,B,B,A,A,B,B,B,2019.0,FALSE
UNC Wilmington,32.0,B,A,A,B,A,B,A,B,A,A,2019.0,FALSE
William & Mary,30.0,B,B,A,B,A,B,B,B,A,A,2019.0,FALSE
Charlotte,32.0,B,A,A,A,A,A,A,A,A,A,2015.0,FALSE
FIU,31.0,B,B,B,B,B,A,B,A,B,B,2015.0,FALSE
Florida Atlantic,27.0,B,B,A,B,B,A,B,B,B,A,2015.0,FALSE
Louisiana Tech,35.0,A,A,B,A,A,B,B,B,A,B,2015.0,TRUE
Marshall,30.0,B,B,B,B,B,A,B,B,B,B,2015.0,FALSE
Middle Tennessee,35.0,A,B,B,A,B,A,A,A,B,A,2015.0,TRUE
North Texas,29.0,B,B,B,B,B,A,A,A,B,B,2015.0,FALSE
Old Dominion,35.0,A,A,B,A,B,B,A,B,B,B,2015.0,TRUE
Rice,29.0,B,B,A,B,A,A,B,B,B,A,2015.0,FALSE
Southern Miss,27.0,B,B,A,B,B,A,B,B,B,B,2015.0,FALSE
UTEP,33.0,A,A,B,A,A,A,B,A,A,A,2015.0,TRUE
UTSA,28.0,B,A,A,B,B,B,A,A,B,B,2015.0,FALSE
Western Kentucky,30.0,A,B,B,B,B,A,A,A,B,A,2015.0,TRUE
Charlotte,33.0,B,A,A,B,A,B,B,B,B,A,2016.0,FALSE
FIU,30.0,B,B,A,B,A,A,A,B,A,A,2016.0,FALSE
Florida Atlantic,31.0,B,B,A,B,B,B,B,B,B,B,2016.0,FALSE
Louisiana Tech,31.0,A,B,B,A,A,B,B,A,A,B,2016.0,TRUE
Marshall,33.0,A,A,A,A,A,B,B,B,A,B,2016.0,TRUE
North Texas,30.0,B,B,A,B,B,A,A,A,A,B,2016.0,FALSE
Old Dominion,38.0,A,A,B,A,B,B,A,B,B,B,2016.0,TRUE
Rice,30.0,B,A,A,B,A,B,B,A,A,B,2016.0,FALSE
Southern Miss,27.0,B,B,A,B,B,A,B,A,B,A,2016.0,FALSE
UAB,32.0,A,A,A,A,A,B,A,B,A,A,2016.0,TRUE
UTEP,32.0,A,B,A,B,A,B,B,A,A,A,2016.0,TRUE
UTSA,30.0,B,B,A,B,B,B,B,A,B,B,2016.0,FALSE
Western Kentucky,32.0,B,A,A,A,A,A,A,A,A,A,2016.0,TRUE
Charlotte,29.0,B,B,A,B,A,B,B,B,B,A,2017.0,FALSE
FIU,29.0,B,B,A,B,B,A,B,B,A,B,2017.0,FALSE
Florida Atlantic,28.0,B,B,A,B,B,B,B,B,B,B,2017.0,FALSE
Louisiana Tech,31.0,A,A,B,A,A,B,B,B,A,A,2017.0,TRUE
Marshall,34.0,A,A,A,A,A,B,B,A,A,A,2017.0,TRUE
North Texas,28.0,B,B,A,B,B,B,B,B,B,B,2017.0,FALSE
Old Dominion,31.0,A,B,B,A,B,B,A,B,B,B,2017.0,TRUE
Rice,33.0,A,A,A,B,A,A,B,A,A,A,2017.0,TRUE
Southern Miss,29.0,B,B,A,B,B,B,B,B,B,B,2017.0,FALSE
UAB,32.0,A,B,A,B,A,A,A,A,A,B,2017.0,TRUE
UTEP,31.0,B,B,B,B,A,A,B,A,A,B,2017.0,FALSE
UTSA,31.0,B,B,B,B,B,B,A,A,B,B,2017.0,FALSE
Western Kentucky,32.0,B,B,A,B,A,B,B,A,B,A,2017.0,FALSE
Charlotte,28.0,B,B,A,B,B,A,B,A,B,A,2018.0,FALSE
FIU,29.0,B,B,B,B,B,B,B,A,B,B,2018.0,FALSE
Florida Atlantic,28.0,B,B,B,B,B,B,B,B,B,B,2018.0,FALSE
Louisiana Tech,31.0,A,A,A,A,A,B,B,A,B,A,2018.0,TRUE
Middle Tennessee,32.0,A,A,B,A,A,B,A,B,A,A,2018.0,TRUE
North Texas,36.0,A,A,B,A,A,B,A,B,A,A,2018.0,TRUE
Old Dominion,32.0,A,A,B,A,A,B,A,B,A,A,2018.0,TRUE
Rice,29.0,B,B,A,B,B,A,B,B,B,B,2018.0,FALSE
Southern Miss,30.0,B,A,A,B,A,B,B,B,A,B,2018.0,TRUE
UAB,31.0,A,A,B,A,A,A,A,B,A,A,2018.0,TRUE
UTEP,30.0,B,B,B,B,B,B,B,B,A,B,2018.0,FALSE
UTSA,32.0,A,A,B,A,A,B,B,B,A,A,2018.0,TRUE
Western Kentucky,37.0,A,A,B,A,A,B,B,A,A,A,2018.0,TRUE
Charlotte,29.0,B,B,A,B,B,A,B,A,A,B,2019.0,FALSE
FIU,30.0,A,B,A,B,B,B,B,A,A,B,2019.0,TRUE
Florida Atlantic,30.0,A,B,B,A,B,A,B,B,B,B,2019.0,TRUE
Louisiana Tech,31.0,A,B,B,A,B,B,B,B,A,B,2019.0,TRUE
Marshall,37.0,A,A,A,B,A,B,B,B,A,B,2019.0,TRUE
Middle Tennessee,30.0,B,B,A,B,B,A,A,B,B,B,2019.0,FALSE
North Texas,30.0,A,B,B,A,B,A,A,B,A,B,2019.0,TRUE
Rice,30.0,B,B,A,B,A,A,B,A,B,A,2019.0,FALSE
Southern Miss,29.0,A,A,B,A,A,B,B,B,A,A,2019.0,TRUE
UAB,33.0,A,A,A,A,A,B,A,B,A,B,2019.0,TRUE
UTEP,27.0,B,B,B,B,B,A,B,B,B,B,2019.0,FALSE
UTSA,28.0,A,A,B,A,B,B,B,B,B,B,2019.0,TRUE
Western Kentucky,34.0,A,A,B,A,A,A,B,A,A,B,2019.0,TRUE
Cleveland St.,32.0,A,A,B,A,A,A,A,B,A,A,2015.0,TRUE
Detroit,31.0,B,B,A,B,B,A,B,B,B,A,2015.0,FALSE
Green Bay,31.0,A,B,B,A,B,B,A,A,A,B,2015.0,TRUE
Illinois Chicago,32.0,B,B,A,B,B,B,A,A,B,B,2015.0,FALSE
Milwaukee,28.0,B,B,A,B,B,A,B,A,B,B,2015.0,FALSE
Oakland,31.0,B,A,A,A,A,B,A,A,A,A,2015.0,FALSE
Wright St.,29.0,B,B,A,B,B,A,B,B,A,B,2015.0,FALSE
Youngstown St.,29.0,B,A,A,B,A,B,B,B,B,A,2015.0,FALSE
Cleveland St.,30.0,B,B,B,B,B,A,B,B,B,B,2016.0,FALSE
Detroit,29.0,B,A,A,B,A,B,A,A,A,A,2016.0,FALSE
Illinois Chicago,28.0,B,B,A,B,B,A,A,A,B,B,2016.0,FALSE
Milwaukee,31.0,A,A,A,A,A,B,B,A,A,A,2016.0,TRUE
Northern Kentucky,28.0,B,B,A,B,A,A,B,B,B,A,2016.0,FALSE
Oakland,35.0,A,A,A,A,A,B,A,A,A,A,2016.0,TRUE
Valparaiso,35.0,A,A,B,A,A,A,A,B,B,A,2016.0,TRUE
Wright St.,33.0,A,B,B,A,A,B,B,B,B,A,2016.0,TRUE
Youngstown St.,30.0,B,B,A,B,B,B,B,B,B,A,2016.0,FALSE
Cleveland St.,30.0,B,B,B,B,B,A,B,B,B,B,2017.0,FALSE
Detroit,30.0,B,B,A,B,A,A,B,A,B,A,2017.0,FALSE
Green Bay,30.0,A,B,B,B,B,B,A,A,B,B,2017.0,TRUE
Illinois Chicago,34.0,A,B,A,B,A,A,A,A,B,A,2017.0,TRUE
Milwaukee,34.0,B,B,A,B,A,B,B,B,A,A,2017.0,FALSE
Oakland,32.0,A,A,B,A,A,B,B,A,A,B,2017.0,TRUE
Valparaiso,32.0,A,A,B,A,A,B,A,A,A,B,2017.0,TRUE
Wright St.,30.0,A,A,A,A,A,A,B,A,A,A,2017.0,TRUE
Youngstown St.,32.0,B,B,A,B,B,B,B,B,A,B,2017.0,FALSE
Cleveland St.,34.0,B,B,A,B,A,A,B,B,A,B,2018.0,FALSE
Detroit,30.0,B,B,A,B,B,B,B,B,B,B,2018.0,FALSE
Green Bay,30.0,B,B,A,B,B,B,B,B,B,A,2018.0,FALSE
Illinois Chicago,34.0,A,B,B,B,A,A,B,B,A,A,2018.0,TRUE
IUPUI,28.0,B,B,A,B,B,A,A,B,B,A,2018.0,FALSE
Milwaukee,31.0,B,B,B,B,A,B,B,B,A,B,2018.0,TRUE
Northern Kentucky,30.0,A,A,B,A,A,B,B,B,A,B,2018.0,TRUE
Oakland,33.0,A,A,A,B,A,B,B,B,A,A,2018.0,TRUE
Youngstown St.,30.0,B,B,A,B,B,A,A,B,B,B,2018.0,FALSE
Cleveland St.,29.0,B,B,A,B,A,B,B,B,A,A,2019.0,FALSE
Detroit,31.0,B,A,A,B,B,B,B,B,B,A,2019.0,FALSE
Green Bay,36.0,A,A,A,B,A,B,B,B,A,A,2019.0,TRUE
Illinois Chicago,30.0,B,B,B,B,A,A,B,B,A,A,2019.0,TRUE
IUPUI,31.0,B,B,A,B,A,A,A,B,A,B,2019.0,TRUE
Milwaukee,30.0,B,B,A,B,B,B,B,B,B,B,2019.0,FALSE
Oakland,32.0,B,A,A,A,A,B,B,B,A,A,2019.0,TRUE
Wright St.,33.0,A,A,B,A,A,B,A,B,A,A,2019.0,TRUE
Youngstown St.,30.0,B,A,A,B,B,B,A,B,B,B,2019.0,FALSE
NJIT,29.0,A,B,A,B,A,A,B,A,A,A,2015.0,TRUE
Brown,29.0,B,B,A,B,B,A,B,A,B,B,2015.0,FALSE
Columbia,27.0,B,A,A,A,A,A,A,B,A,A,2015.0,FALSE
Cornell,29.0,B,B,B,B,B,A,B,A,B,B,2015.0,FALSE
Dartmouth,29.0,B,B,B,B,B,A,A,B,B,A,2015.0,FALSE
Penn,28.0,B,B,A,B,B,A,B,B,B,A,2015.0,FALSE
Princeton,29.0,B,A,A,A,A,A,B,A,A,A,2015.0,TRUE
Yale,30.0,A,A,B,A,A,A,A,A,B,A,2015.0,TRUE
Brown,27.0,B,B,A,B,A,A,B,A,B,A,2016.0,FALSE
Columbia,33.0,A,A,A,A,A,B,B,A,A,A,2016.0,TRUE
Cornell,27.0,B,B,A,B,B,B,B,B,B,B,2016.0,FALSE
Dartmouth,27.0,B,B,A,B,B,A,A,A,B,B,2016.0,FALSE
Harvard,28.0,B,B,B,A,A,A,B,B,B,A,2016.0,FALSE
Penn,27.0,B,B,A,B,B,A,B,B,A,B,2016.0,FALSE
Princeton,28.0,A,A,B,A,A,B,B,B,A,A,2016.0,TRUE
Brown,28.0,B,B,A,B,A,A,B,A,A,A,2017.0,FALSE
Columbia,26.0,B,B,A,B,B,B,B,B,B,A,2017.0,FALSE
Cornell,28.0,B,B,A,B,A,A,B,B,A,B,2017.0,FALSE
Dartmouth,27.0,B,B,A,B,A,A,B,B,B,A,2017.0,FALSE
Harvard,26.0,A,A,B,A,A,A,B,B,A,A,2017.0,TRUE
Penn,28.0,B,B,B,A,A,A,B,B,A,B,2017.0,FALSE
Yale,28.0,A,A,A,A,A,A,A,B,A,A,2017.0,TRUE
Brown,26.0,B,B,A,B,B,B,B,A,B,B,2018.0,FALSE
Columbia,26.0,B,A,A,B,A,B,B,B,A,A,2018.0,FALSE
Cornell,27.0,B,A,A,B,A,B,B,B,A,B,2018.0,FALSE
Dartmouth,26.0,B,B,A,B,A,A,B,B,A,A,2018.0,FALSE
Harvard,31.0,A,B,B,A,A,A,B,B,B,A,2018.0,TRUE
Princeton,28.0,B,A,A,B,A,B,B,B,A,A,2018.0,FALSE
Yale,30.0,B,B,A,B,A,A,B,B,A,B,2018.0,TRUE
Brown,30.0,A,B,B,A,A,A,B,A,A,B,2019.0,TRUE
Columbia,26.0,B,B,A,B,A,B,B,B,A,A,2019.0,FALSE
Cornell,29.0,B,B,A,B,A,A,B,B,A,B,2019.0,TRUE
Dartmouth,28.0,B,B,A,B,A,B,B,B,A,A,2019.0,FALSE
Harvard,30.0,A,A,B,A,A,A,B,B,A,A,2019.0,TRUE
Penn,30.0,A,A,B,A,A,B,B,B,A,A,2019.0,TRUE
Princeton,26.0,B,B,B,B,B,B,B,B,B,B,2019.0,TRUE
Canisius,33.0,A,B,B,A,B,B,A,B,B,B,2015.0,TRUE
Fairfield,31.0,B,B,A,B,B,A,B,A,B,B,2015.0,FALSE
Iona,35.0,A,A,A,A,A,B,B,A,A,A,2015.0,TRUE
Marist,32.0,B,B,A,B,B,A,B,A,B,B,2015.0,FALSE
Monmouth,33.0,A,B,B,B,B,A,A,A,B,B,2015.0,TRUE
Niagara,30.0,B,B,A,B,B,A,A,A,B,A,2015.0,FALSE
Quinnipiac,30.0,B,B,B,A,B,A,A,B,B,B,2015.0,TRUE
Rider,33.0,A,B,B,A,B,A,A,B,A,B,2015.0,TRUE
Saint Peter's,34.0,B,B,B,B,B,A,A,A,B,B,2015.0,FALSE
